brand,price,name,description
Dyson,499,Vacuum Cleaner V11,Cordless high-power vacuum cleaner with advanced filtration
Philips,89,Air Fryer Essential,Healthy air fryer that uses rapid air technology for low oil cooking
Panasonic,120,Microwave Oven NN-ST34,Compact microwave oven with multiple cooking modes
LG,650,Smart Washing Machine 7kg,Energy efficient front load washing machine with smart features
Samsung,320,Robot Vacuum VR5000,Automatic robot vacuum cleaner with smart navigation
Tefal,45,Non-Stick Frying Pan 28cm,Durable frying pan with titanium non-stick coating
Sharp,210,Air Purifier FP-J30E,Removes dust and allergens using Plasmacluster technology
Xiaomi,60,Electric Kettle Smart Pro,Temperature controlled smart kettle with mobile app support
Black+Decker,55,Steam Iron BXIR2400,Powerful steam iron with anti-drip and self-clean function
Bosch,180,Hand Mixer MFQ4080,Multi-speed hand mixer with whisk and dough hook attachments
Brita,35,Water Filter Pitcher Marella,Water filtration jug that reduces chlorine and impurities
Zojirushi,150,Rice Cooker NS-TSC10,Automatic rice cooker with fuzzy logic cooking control
KitchenAid,420,Stand Mixer Artisan,Professional stand mixer with multiple attachment options
Hamilton Beach,70,Blender Power Elite,High-performance blender for smoothies and food processing
Nestle,12,Instant Coffee Gold Blend,Premium instant coffee with rich aroma and smooth taste
Colgate,4,Total Toothpaste 150g,Fluoride toothpaste for complete oral protection
Dettol,6,Antibacterial Hand Wash,Kills 99.9% of germs and provides long-lasting hygiene
Scotch-Brite,3,Scrub Sponge Pack,Multi-purpose scrub sponges for kitchen cleaning
Pledge,7,Furniture Polish Spray,Cleans and protects wooden furniture surfaces
Glad,10,Trash Bags 30L,Durable garbage bags with leak protection for household waste
